,name,external_id,external_id_source,lat,lng,address,minimum_age,url
206,Saint Cecilia Studios,1482418272028913,facebook_places,32.21994,-110.9355,"0.1mi · 232 S. Tucson Blvd., Tucson, Arizona",,https://www.instagram.com/explore/locations/1482418272028913
207,St. Ambrose Catholic School,443021385784521,facebook_places,32.218496433684,-110.9359156295,"0.1mi · 300 S Tucson Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/443021385784521
208,Enchanted Dragon Tattoos,185850021435836,facebook_places,32.221865544908,-110.93834799337,"0.1mi · 2237 E Broadway Blvd, Tucson, AZ",,https://www.instagram.com/explore/locations/185850021435836
209,Laverna's Coffee Shop,115130871839861,facebook_places,32.2194501,-110.9397343,0.2mi · 220 S Plumer Ave,,https://www.instagram.com/explore/locations/115130871839861
210,Radio Bipolar,549804738526678,facebook_places,32.22114,-110.94199,"0.3mi · 2012 E Broadway Blvd, Ste 212",,https://www.instagram.com/explore/locations/549804738526678
211,"University of Arizona Campus, Tucson",815332098588007,facebook_places,32.232094142711,-110.95129927633,1.2mi,,https://www.instagram.com/explore/locations/815332098588007
212,University of Arizona,1650231061877410,facebook_places,32.232759159183,-110.95210343937,"1.2mi · Tucson, AZ",,https://www.instagram.com/explore/locations/1650231061877410
213,Cookie Plug Tucson,107656868769003,facebook_places,32.22701,-110.94312,"0.6mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/107656868769003
214,Western Lifestyles,111183388944739,facebook_places,32.221363,-110.937343,"<0.1mi · 2354 E Broadway Blvd, Tucson, AZ",,https://www.instagram.com/explore/locations/111183388944739
215,Arte de la Vida,388759184523018,facebook_places,32.2221741,-110.9354742,"0.2mi · 37 N Tucson Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/388759184523018
216,Broadway Animal Hospital,149587448418578,facebook_places,32.221236,-110.9374407,"<0.1mi · 2300 E Broadway Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/149587448418578
217,On Top of I.T.,137513176284403,facebook_places,32.22083,-110.94513,"0.5mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/137513176284403
218,St Ambrose Catholic Church 300 S Tucson Blvd,112150009531021,facebook_places,32.2186518,-110.935785,0.1mi · 300 S. Tucson Blvd,,https://www.instagram.com/explore/locations/112150009531021
219,San Clemente,712057755590220,facebook_places,32.217755,-110.905135,"0.2mi · San Clemente, Tucson",,https://www.instagram.com/explore/locations/712057755590220
220,"Tucson Arizona , United States of America",305809532769670,facebook_places,32.234582795618,-110.90030823468,"1mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/305809532769670
221,The Old Pueblo,246524038741985,facebook_places,32.21534,-110.90819,0.4mi,,https://www.instagram.com/explore/locations/246524038741985
222,Locale Neighborhood Italian,100304161480346,facebook_places,32.223039667446,-110.90920353357,"0.3mi · 60 North Alvernon Way, Tucson, Arizona",,https://www.instagram.com/explore/locations/100304161480346
223,Four of Wands,235438575083458,facebook_places,32.22189,-110.89909,"0.3mi · 4349 E. Broadway, Tucson, Arizona",,https://www.instagram.com/explore/locations/235438575083458
224,Reid Park Running Course,117402438324962,facebook_places,32.220079871113,-110.90988677705,0.3mi,,https://www.instagram.com/explore/locations/117402438324962
225,Randolph Golf Complex,116920662346768,facebook_places,32.213976013485,-110.91074787972,"0.6mi · 600 S. Alvernon Way, Tucson, Arizona",,https://www.instagram.com/explore/locations/116920662346768
226,Poets Corner,608510352634654,facebook_places,32.223874,-110.90704,"0.3mi · 120 N Longfellow Ave , Tucson, AZ",,https://www.instagram.com/explore/locations/608510352634654
227,Biosphere 2,334988189940496,facebook_places,32.221145716667,-110.91881193333,0.8mi,,https://www.instagram.com/explore/locations/334988189940496
228,Randolph Golf,209319439078078,facebook_places,32.221783458346,-110.9123986262,0.5mi,,https://www.instagram.com/explore/locations/209319439078078
229,Guadalajara Mexican Grill,746710562068934,facebook_places,32.2220904,-110.887538,"1mi · 4901 E Broadway Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/746710562068934
230,Randolph Community Center,137798026289712,facebook_places,32.218966102906,-110.91012406091,0.3mi,,https://www.instagram.com/explore/locations/137798026289712
231,Organ Pipe Cactus National Monument,217140465052893,facebook_places,33.59533748,-112.38834238,"Catalina Foothills, Arizona",,https://www.instagram.com/explore/locations/217140465052893
232,Sweetwater Preserve,1782614255289415,facebook_places,32.2314,-110.90615,"0.8mi · E 3rd St, Tucson, AZ",,https://www.instagram.com/explore/locations/1782614255289415
233,Tanque Verde Falls,1670974539888309,facebook_places,32.221666666667,-110.92638888889,1.3mi,,https://www.instagram.com/explore/locations/1670974539888309
234,Del Urich Golf Course,116228891739479,facebook_places,32.2136356,-110.910699,0.6mi · 600 S Alvernon Way,,https://www.instagram.com/explore/locations/116228891739479
235,"The Church of The Painted Hills, UCC",118977651449248,facebook_places,32.2356518,-111.0367529,"0.1mi · 3295 W Speedway Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/118977651449248
236,"San Xavier Mission, Tucson, Arizona",1453535434870065,facebook_places,32.252579708,-110.999006066,2.5mi,,https://www.instagram.com/explore/locations/1453535434870065
237,Speedway Greasewood Park,141996792500868,facebook_places,32.233586,-111.02335651415,0.7mi · 899 North Greasewood Road,,https://www.instagram.com/explore/locations/141996792500868
238,Pima Community College-West Campus,181330059077839,facebook_places,32.227976254971,-111.01732597784,"1.1mi · 2202 West Anklam Road, AZ",,https://www.instagram.com/explore/locations/181330059077839
239,International Wildlife Museum,79302946543,facebook_places,32.234615957885,-111.06707543135,"1.8mi · 4800 W. Gates Pass Rd., Tucson, Arizona",,https://www.instagram.com/explore/locations/79302946543
240,Arizona-Sonora Desert Museum,39379799314,facebook_places,32.243922111163,-111.16793453693,"7.8mi · 2021 N Kinney Rd, Tucson, Arizona",,https://www.instagram.com/explore/locations/39379799314
241,4th Avenue street fair,207197399384509,facebook_places,32.226171457212,-110.96559365105,4.1mi · 4TH Ave,,https://www.instagram.com/explore/locations/207197399384509
242,Barrio Hollywood,390690657789621,facebook_places,32.232561992339,-110.99300297589,"0.6mi · Barrio Hollywood, Tucson",,https://www.instagram.com/explore/locations/390690657789621
243,Santiago Hills,403761183713351,facebook_places,32.230008,-111.006907,"0.4mi · Santiago Hills, Tucson",,https://www.instagram.com/explore/locations/403761183713351
244,El Rio Golf Course,498767273837367,facebook_places,32.236321,-110.99582129168,"0.4mi · 1400 W. Speedway Blvd. , Tucson, Arizona",,https://www.instagram.com/explore/locations/498767273837367
245,El Presidio Historic District,805172936219535,facebook_places,32.225129244,-110.975885511,1.7mi · Tucson,,https://www.instagram.com/explore/locations/805172936219535
246,Amp'd Up Bar & Grill,103959124581558,facebook_places,32.235257551937,-110.99854732351,0.3mi,,https://www.instagram.com/explore/locations/103959124581558
247,Panda Express,111495662222347,facebook_places,32.235072,-111.0044826,0.1mi · 1055 N Silverbell Rd,,https://www.instagram.com/explore/locations/111495662222347
248,Cota Academy Officer Training,392077600840827,facebook_places,32.240511325577,-111.08522143512,4.8mi,,https://www.instagram.com/explore/locations/392077600840827
